,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1,IRX3,0.01,10.278199,-1.0,-1.0,0.01
2,PLSCR2,0.01,9.322792,-1.0,-1.0,0.01
4,MSX1,0.01,10.199056,-1.0,-1.0,0.01
10,DKK4,0.01,12.811805,-1.0,-1.0,0.01
11,T,0.01,8.394888,-1.0,-1.0,0.01
16,APLNR,0.01,12.935824,-1.0,-1.0,0.01
17,TBX6,0.01,8.317486,-1.0,-1.0,0.01
23,DKK1,0.01,9.744083,-1.0,-1.0,0.01
25,LINC00678,0.01,-4.526932,-1.0,-1.0,0.01
30,RSPO3,0.01,12.4574795,-1.0,-1.0,0.01
35,HVCN1,0.01,4.708541,-1.0,-1.0,0.01
37,MESP2,0.01,8.825529,-1.0,-1.0,0.01
42,LOX,0.01,10.6071415,-1.0,-1.0,0.01
45,FGF17,0.01,10.156558,-1.0,-1.0,0.01
48,CLU,0.01,-3.8809192,-1.0,-1.0,0.01
50,RP11-568A7.4,0.01,-4.4739504,-1.0,-1.0,0.01
53,SAMD3,0.01,8.11242,-1.0,-1.0,0.01
57,LHX1,0.01,10.099208,-1.0,-1.0,0.01
60,SPP1,0.01,-7.5744095,-1.0,-1.0,0.01
62,MIXL1,0.01,4.900589,-1.0,-1.0,0.01
85,TNNT1,0.01,2.5646565,-1.0,-1.0,0.01
86,MESP1,0.01,8.49916,-1.0,-1.0,0.01
91,CYP26A1,0.01,5.046615,-1.0,-1.0,0.01
92,GATA6-AS1,0.01,11.150561,-1.0,-1.0,0.01
95,SNAI1,0.01,4.9205785,-1.0,-1.0,0.01
99,SEPHS1,0.01,-1.880717,-1.0,-1.0,0.01
111,PLXNA2,0.01,7.3095407,-1.0,-1.0,0.01
112,CITED2,0.01,2.8092968,-1.0,-1.0,0.01
114,SP5,0.01,10.838092,-1.0,-1.0,0.01
120,SOX2,0.01,-8.858097,-1.0,-1.0,0.01
121,DNMT3B,0.01,-2.481153,-1.0,-1.0,0.01
123,SCGB3A2,0.01,-3.6487074,-1.0,-1.0,0.01
126,P3H2,0.01,5.937077,-1.0,-1.0,0.01
127,LINC00458,0.01,5.2956214,-1.0,-1.0,0.01
129,LECT1,0.01,-5.2273264,-1.0,-1.0,0.01
131,GAD1,0.01,6.597163,-1.0,-1.0,0.01
137,RARRES2,0.01,-2.3749013,-1.0,-1.0,0.01
145,GATA6,0.01,11.252081,-1.0,-1.0,0.01
146,DPYSL3,0.01,-3.9299579,-1.0,-1.0,0.01
148,SLC16A3,0.01,7.120864,-1.0,-1.0,0.01
153,ZIC3,0.01,3.0758119,-1.0,-1.0,0.01
154,RP11-132A1.3,0.01,-9.409094,-1.0,-1.0,0.01
156,MLLT11,0.01,-3.2209036,-1.0,-1.0,0.01
160,SERPINE2,0.01,3.8117793,-1.0,-1.0,0.01
165,NANOG,0.01,-6.6853056,-1.0,-1.0,0.01
166,TRDN,0.01,3.9069054,-1.0,-1.0,0.01
168,DDIT4,0.01,4.891776,-1.0,-1.0,0.01
176,NEAT1,0.01,3.1383114,-1.0,-1.0,0.01
178,LINC01356,0.01,5.7162795,-1.0,-1.0,0.01
180,CYB5A,0.01,-2.841074,-1.0,-1.0,0.01
184,FOXD3-AS1,0.01,-5.9320498,-1.0,-1.0,0.01
185,LZTS1,0.01,4.7988963,-1.0,-1.0,0.01
191,RP11-20D14.6,0.01,-1.8443644,-1.0,-1.0,0.01
194,VIM,0.01,4.001541,-1.0,-1.0,0.01
195,SRM,0.01,-2.5234046,-1.0,-1.0,0.01
198,EOMES,0.01,6.3087263,-1.0,-1.0,0.01
200,DPPA4,0.01,-2.6233535,-1.0,-1.0,0.01
201,PLA2G16,0.01,-3.566763,-1.0,-1.0,0.01
205,CLDN7,0.01,-2.2261825,-1.0,-1.0,0.01
208,PKM,0.01,3.4328985,-1.0,-1.0,0.01
221,PDPN,0.01,-3.7212298,-1.0,-1.0,0.01
229,HAS2,0.01,4.3683724,-1.0,-1.0,0.01
235,TUBB6,0.01,-3.3728142,-1.0,-1.0,0.01
237,CD24,0.01,-3.168088,-1.0,-1.0,0.01
240,PPP1R14B,0.01,-2.2400534,-1.0,-1.0,0.01
