,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
242,BNIP3,0.01,4.16096,-1.0,-1.0,0.01
245,CNTFR,0.01,3.156215,-1.0,-1.0,0.01
251,GPATCH4,0.01,-2.700942,-1.0,-1.0,0.01
252,MGST2,0.01,3.4747078,-1.0,-1.0,0.01
256,POLR3G,0.01,-4.6297927,-1.0,-1.0,0.01
258,CDH2,0.01,3.7232466,-1.0,-1.0,0.01
260,BEX1,0.01,-2.756319,-1.0,-1.0,0.01
262,P4HA1,0.01,2.9605677,-1.0,-1.0,0.01
268,UCHL1,0.01,-4.4854035,-1.0,-1.0,0.01
271,ARL4D,0.01,4.4742866,-1.0,-1.0,0.01
274,THY1,0.01,-3.4943664,-1.0,-1.0,0.01
278,CAV1,0.01,-3.0436769,-1.0,-1.0,0.01
280,MMP23B,0.01,4.0186133,-1.0,-1.0,0.01
289,UTF1,0.01,-9.2053585,-1.0,-1.0,0.01
291,SFRP2,0.01,-2.3387194,-1.0,-1.0,0.01
292,COL6A1,0.01,3.1598449,-1.0,-1.0,0.01
294,FAM89A,0.01,6.2346673,-1.0,-1.0,0.01
295,DLL3,0.01,4.5589013,-1.0,-1.0,0.01
301,L1TD1,0.01,-3.192941,-1.0,-1.0,0.01
304,KRT19,0.01,3.1544805,-1.0,-1.0,0.01
307,RND2,0.01,-3.4720542,-1.0,-1.0,0.01
313,FAM159B,0.01,2.096804,-1.0,-1.0,0.01
314,SLC39A8,0.01,2.0597663,-1.0,-1.0,0.01
319,PGK1,0.01,2.4866328,-1.0,-1.0,0.01
323,CASP3,0.01,-2.2531488,-1.0,-1.0,0.01
327,GSTO1,0.01,1.9846901,-1.0,-1.0,0.01
328,TPM1,0.01,-2.4930122,-1.0,-1.0,0.01
330,POU5F1,0.01,-1.3584129,-1.0,-1.0,0.01
331,PGM1,0.01,2.6083634,-1.0,-1.0,0.01
332,DLL1,0.01,4.4697804,-1.0,-1.0,0.01
340,H2AFZ,0.01,-1.6814443,-1.0,-1.0,0.01
343,FGFBP3,0.01,-3.420953,-1.0,-1.0,0.01
360,NNAT,0.01,-2.6785781,-1.0,-1.0,0.01
367,ALDH2,0.01,1.5868106,-1.0,-1.0,0.01
369,H2AFJ,0.01,-2.461542,-1.0,-1.0,0.01
370,DNAJB6,0.01,-2.1421158,-1.0,-1.0,0.01
372,OTX2,0.01,2.6131208,-1.0,-1.0,0.01
376,FZD7,0.01,2.7311165,-1.0,-1.0,0.01
378,MEST,0.01,-1.679943,-1.0,-1.0,0.01
388,RBPMS2,0.01,-2.5565443,-1.0,-1.0,0.01
390,TGIF1,0.01,1.9327854,-1.0,-1.0,0.01
391,MT2A,0.01,-4.226025,-1.0,-1.0,0.01
397,ATP5G1,0.01,-2.3600142,-1.0,-1.0,0.01
398,TERF1,0.01,-3.558712,-1.0,-1.0,0.01
400,SLIRP,0.01,-1.4718317,-1.0,-1.0,0.01
401,IER2,0.01,-1.6000305,-1.0,-1.0,0.01
402,CYCS,0.01,-2.1790526,-1.0,-1.0,0.01
406,CALD1,0.01,-2.6554036,-1.0,-1.0,0.01
408,EIF4EBP1,0.01,-1.9577082,-1.0,-1.0,0.01
410,SLC25A4,0.01,-2.071561,-1.0,-1.0,0.01
417,CHCHD10,0.01,-1.7560828,-1.0,-1.0,0.01
419,TJP1,0.01,-2.1121593,-1.0,-1.0,0.01
424,LY6E,0.01,1.30324,-1.0,-1.0,0.01
439,MGST3,0.01,-1.1390471,-1.0,-1.0,0.01
442,NME1,0.01,-1.8550092,-1.0,-1.0,0.01
447,CADM1,0.01,2.4782822,-1.0,-1.0,0.01
456,CD9,0.01,-1.8707744,-1.0,-1.0,0.01
458,CST3,0.01,1.4661913,-1.0,-1.0,0.01
460,CA2,0.01,2.4582744,-1.0,-1.0,0.01
463,NTS,0.01,3.9007504,-1.0,-1.0,0.01
467,MT1X,0.01,-3.4454074,-1.0,-1.0,0.01
474,SOCS2,0.01,-1.3046435,-1.0,-1.0,0.01
476,MPC2,0.01,-1.1413815,-1.0,-1.0,0.01
480,TSC22D1,0.01,1.6280733,-1.0,-1.0,0.01
484,SLC2A1,0.01,2.0169919,-1.0,-1.0,0.01
494,PERP,0.01,-1.7921861,-1.0,-1.0,0.01
507,RHOBTB3,0.01,2.526727,-1.0,-1.0,0.01
510,TCEAL9,0.01,1.0821015,-1.0,-1.0,0.01
513,C4orf3,0.01,1.970694,-1.0,-1.0,0.01
527,GNPNAT1,0.01,1.8231446,-1.0,-1.0,0.01
528,RP11-1144P22.1,0.01,-3.2904925,-1.0,-1.0,0.01
530,RRS1,0.01,-2.136272,-1.0,-1.0,0.01
535,BID,0.01,-2.5493062,-1.0,-1.0,0.01
540,CD99,0.01,1.1540946,-1.0,-1.0,0.01
551,TNFRSF12A,0.01,-1.8866906,-1.0,-1.0,0.01
560,RAB3B,0.01,1.6290582,-1.0,-1.0,0.01
563,PMAIP1,0.01,-2.1945918,-1.0,-1.0,0.01
571,WDR54,0.01,2.015526,-1.0,-1.0,0.01
577,HN1,0.01,-2.2312903,-1.0,-1.0,0.01
587,NOP16,0.01,-1.7841344,-1.0,-1.0,0.01
607,HAPLN1,0.01,3.0408282,-1.0,-1.0,0.01
608,PIF1,0.01,-4.298161,-1.0,-1.0,0.01
615,PTGR1,0.01,1.5048951,-1.0,-1.0,0.01
627,MAP1B,0.01,-1.426825,-1.0,-1.0,0.01
643,PSAT1,0.01,-1.9517535,-1.0,-1.0,0.01
651,FAM162A,0.01,1.5642914,-1.0,-1.0,0.01
654,LYAR,0.01,-1.66505,-1.0,-1.0,0.01
678,PDLIM1,0.01,-1.1842296,-1.0,-1.0,0.01
694,SRSF2,0.01,-1.7373381,-1.0,-1.0,0.01
696,TIMP1,0.01,1.1213412,-1.0,-1.0,0.01
699,TUBA1A,0.01,-1.5322757,-1.0,-1.0,0.01
704,SPARC,0.01,1.3493999,-1.0,-1.0,0.01
717,CSRP2,0.01,-1.0944587,-1.0,-1.0,0.01
725,CLSPN,0.01,-3.0347095,-1.0,-1.0,0.01
739,CCND1,0.01,-1.5021126,-1.0,-1.0,0.01
756,ID1,0.01,-3.0052617,-1.0,-1.0,0.01
757,IDI1,0.01,-2.4055388,-1.0,-1.0,0.01
758,ACAT2,0.01,-1.6002117,-1.0,-1.0,0.01
760,KPNA2,0.01,-1.9071459,-1.0,-1.0,0.01
761,H2AFX,0.01,-2.302564,-1.0,-1.0,0.01
763,MYBL2,0.01,-2.6950884,-1.0,-1.0,0.01
765,ISYNA1,0.01,1.2161454,-1.0,-1.0,0.01
769,SAT1,0.01,2.0581558,-1.0,-1.0,0.01
784,TMEM141,0.01,-0.8809082,-1.0,-1.0,0.01
785,CCNB1,0.01,-2.1060936,-1.0,-1.0,0.01
798,KRT18,0.01,-1.6168358,-1.0,-1.0,0.01
812,GPC4,0.01,1.6279994,-1.0,-1.0,0.01
818,SQLE,0.01,-2.0535502,-1.0,-1.0,0.01
834,FAM64A,0.01,-2.655283,-1.0,-1.0,0.01
837,CDKN3,0.01,-2.0028784,-1.0,-1.0,0.01
846,CKS2,0.01,-1.931276,-1.0,-1.0,0.01
879,NODAL,0.01,-2.6540084,-1.0,-1.0,0.01
889,CDA,0.01,1.725682,-1.0,-1.0,0.01
899,HES6,0.01,-1.8256818,-1.0,-1.0,0.01
914,CDC20,0.01,-1.3565164,-1.0,-1.0,0.01
916,CENPF,0.01,-2.2173915,-1.0,-1.0,0.01
921,CCDC85B,0.01,-1.2397633,-1.0,-1.0,0.01
922,AKAP12,0.01,-1.5741897,-1.0,-1.0,0.01
937,PTTG1,0.01,-1.8086902,-1.0,-1.0,0.01
944,EGFL7,0.01,0.90158594,-1.0,-1.0,0.01
959,UBE2C,0.01,-1.5514356,-1.0,-1.0,0.01
973,MIR302B,0.01,-1.415563,-1.0,-1.0,0.01
974,DHCR24,0.01,-1.116246,-1.0,-1.0,0.01
986,DNAJA1,0.01,-1.439892,-1.0,-1.0,0.01
992,CKB,0.01,-0.881195,-1.0,-1.0,0.01
1041,UBE2S,0.01,-1.5317512,-1.0,-1.0,0.01
1065,AURKB,0.01,-1.7458621,-1.0,-1.0,0.01
1125,ARL6IP1,0.01,-0.70093805,-1.0,-1.0,0.01
1131,HIST1H4C,0.01,-1.0417389,-1.0,-1.0,0.01
1142,GINS2,0.01,-1.9254429,-1.0,-1.0,0.01
1165,GYPC,0.01,1.1527826,-1.0,-1.0,0.01
1198,PKIG,0.01,0.9224882,-1.0,-1.0,0.01
1250,S100A10,0.01,-1.0260216,-1.0,-1.0,0.01
1257,AURKA,0.01,-0.8304254,-1.0,-1.0,0.01
1268,CBR1,0.01,-1.3325741,-1.0,-1.0,0.01
1270,BIRC5,0.01,-1.2365371,-1.0,-1.0,0.01
1273,PCNA,0.01,-1.1914337,-1.0,-1.0,0.01
1320,TK1,0.01,-1.8385713,-1.0,-1.0,0.01
1327,S100A11,0.01,0.9404023,-1.0,-1.0,0.01
1329,HMGB2,0.01,-1.0015421,-1.0,-1.0,0.01
1333,CTSV,0.01,-0.93217736,-1.0,-1.0,0.01
1335,DUT,0.01,-1.1041787,-1.0,-1.0,0.01
1343,ZFP36L2,0.01,-0.91509,-1.0,-1.0,0.01
1351,HSP90B1,0.01,0.89213157,-1.0,-1.0,0.01
1358,EPCAM,0.01,-1.1517441,-1.0,-1.0,0.01
1431,FEN1,0.01,-0.81327516,-1.0,-1.0,0.01
1443,H1F0,0.01,1.0868979,-1.0,-1.0,0.01
1460,TDGF1,0.01,-1.3477075,-1.0,-1.0,0.01
1464,RDX,0.01,0.67267585,-1.0,-1.0,0.01
1475,SMC4,0.01,-0.85814553,-1.0,-1.0,0.01
1502,RPP25,0.01,-1.0176162,-1.0,-1.0,0.01
1507,SLC3A2,0.01,-0.805174,-1.0,-1.0,0.01
1529,IFITM3,0.01,0.72123605,-1.0,-1.0,0.01
