,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
352,RBPMS2,0.01,-2.4993696,-1.0,-1.0,0.01
353,TNNT1,0.01,2.3580534,-1.0,-1.0,0.01
356,HVCN1,0.01,4.59286,-1.0,-1.0,0.01
359,FAM159B,0.01,2.0433803,-1.0,-1.0,0.01
360,GSTO1,0.01,2.0277307,-1.0,-1.0,0.01
362,POU5F1,0.01,-1.4709901,-1.0,-1.0,0.01
369,KRT19,0.01,3.1646438,-1.0,-1.0,0.01
375,IER2,0.01,-1.7103115,-1.0,-1.0,0.01
377,SLC25A4,0.01,-2.1576366,-1.0,-1.0,0.01
380,DLL1,0.01,4.2644672,-1.0,-1.0,0.01
381,PGM1,0.01,2.5648506,-1.0,-1.0,0.01
385,RP11-20D14.6,0.01,-1.6579797,-1.0,-1.0,0.01
386,CYCS,0.01,-2.3289006,-1.0,-1.0,0.01
392,BID,0.01,-2.7187006,-1.0,-1.0,0.01
393,EIF4EBP1,0.01,-2.0341942,-1.0,-1.0,0.01
397,TGIF1,0.01,1.9621383,-1.0,-1.0,0.01
406,MPC2,0.01,-1.3937811,-1.0,-1.0,0.01
407,CALD1,0.01,-2.6520364,-1.0,-1.0,0.01
409,CST3,0.01,1.4167871,-1.0,-1.0,0.01
420,FZD7,0.01,2.540052,-1.0,-1.0,0.01
422,NTS,0.01,3.9602942,-1.0,-1.0,0.01
424,TJP1,0.01,-2.1370828,-1.0,-1.0,0.01
427,TSC22D1,0.01,1.68897,-1.0,-1.0,0.01
428,OTX2,0.01,2.5467315,-1.0,-1.0,0.01
431,CHCHD10,0.01,-1.8148422,-1.0,-1.0,0.01
435,TPM1,0.01,-2.355587,-1.0,-1.0,0.01
437,SOCS2,0.01,-1.39981,-1.0,-1.0,0.01
449,CA2,0.01,2.5515294,-1.0,-1.0,0.01
460,SLC2A1,0.01,2.1962457,-1.0,-1.0,0.01
462,LY6E,0.01,1.21691,-1.0,-1.0,0.01
463,RP11-1144P22.1,0.01,-3.3633661,-1.0,-1.0,0.01
476,HN1,0.01,-2.2489252,-1.0,-1.0,0.01
498,GNPNAT1,0.01,1.6739002,-1.0,-1.0,0.01
518,RHOBTB3,0.01,2.3243988,-1.0,-1.0,0.01
522,MT1X,0.01,-3.5213077,-1.0,-1.0,0.01
523,RRS1,0.01,-2.2162292,-1.0,-1.0,0.01
525,WDR54,0.01,2.2240105,-1.0,-1.0,0.01
536,TNFRSF12A,0.01,-1.8572396,-1.0,-1.0,0.01
544,LYAR,0.01,-1.8253825,-1.0,-1.0,0.01
547,PERP,0.01,-1.8222654,-1.0,-1.0,0.01
550,MGST3,0.01,-0.99989694,-1.0,-1.0,0.01
558,SRSF2,0.01,-1.8853585,-1.0,-1.0,0.01
559,RAB3B,0.01,1.678506,-1.0,-1.0,0.01
562,CLSPN,0.01,-3.52927,-1.0,-1.0,0.01
576,C4orf3,0.01,1.9720967,-1.0,-1.0,0.01
584,PTGR1,0.01,1.4903953,-1.0,-1.0,0.01
589,PSAT1,0.01,-1.976798,-1.0,-1.0,0.01
591,PMAIP1,0.01,-2.3651795,-1.0,-1.0,0.01
593,CD9,0.01,-1.681361,-1.0,-1.0,0.01
599,FAM162A,0.01,1.5449376,-1.0,-1.0,0.01
609,CD99,0.01,1.1793171,-1.0,-1.0,0.01
610,PIF1,0.01,-3.9896104,-1.0,-1.0,0.01
611,HAPLN1,0.01,2.903199,-1.0,-1.0,0.01
623,CCDC85B,0.01,-1.492149,-1.0,-1.0,0.01
632,TCEAL9,0.01,0.9911906,-1.0,-1.0,0.01
640,CSRP2,0.01,-1.0321318,-1.0,-1.0,0.01
697,SAT1,0.01,2.1895754,-1.0,-1.0,0.01
698,IDI1,0.01,-2.4902532,-1.0,-1.0,0.01
708,ACAT2,0.01,-1.7542281,-1.0,-1.0,0.01
715,MIR302B,0.01,-1.6160729,-1.0,-1.0,0.01
716,CCND1,0.01,-1.5829362,-1.0,-1.0,0.01
721,TUBA1A,0.01,-1.5142367,-1.0,-1.0,0.01
