,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
9,PRSS2,0.01,15.296432,-1.0,-1.0,0.01
10,CYP26A1,0.01,6.3417697,-1.0,-1.0,0.01
14,SOX17,0.01,14.503554,-1.0,-1.0,0.01
19,FAM184A,0.01,5.12881,-1.0,-1.0,0.01
22,LHX1,0.01,8.589046,-1.0,-1.0,0.01
25,MOBP,0.01,10.04097,-1.0,-1.0,0.01
27,DKK4,0.01,15.597061,-1.0,-1.0,0.01
33,GPC4,0.01,2.9330103,-1.0,-1.0,0.01
40,ACOX3,0.01,4.4311423,-1.0,-1.0,0.01
41,DKK1,0.01,10.496855,-1.0,-1.0,0.01
47,LINC01356,0.01,7.276059,-1.0,-1.0,0.01
48,ARHGAP29,0.01,3.4870183,-1.0,-1.0,0.01
59,SPP1,0.01,-8.354697,-1.0,-1.0,0.01
60,CER1,0.01,9.884751,-1.0,-1.0,0.01
64,PLSCR2,0.01,11.242708,-1.0,-1.0,0.01
84,SAMD3,0.01,8.909488,-1.0,-1.0,0.01
99,TUBB6,0.01,-4.985721,-1.0,-1.0,0.01
104,CXCR4,0.01,7.6625047,-1.0,-1.0,0.01
107,GAD1,0.01,7.1878576,-1.0,-1.0,0.01
108,PGK1,0.01,2.782923,-1.0,-1.0,0.01
109,DDIT4,0.01,5.1500387,-1.0,-1.0,0.01
120,EOMES,0.01,5.9093637,-1.0,-1.0,0.01
125,PTGR1,0.01,2.7570722,-1.0,-1.0,0.01
128,CCND1,0.01,-3.054171,-1.0,-1.0,0.01
132,CADM1,0.01,3.3811817,-1.0,-1.0,0.01
134,LECT1,0.01,-5.4629498,-1.0,-1.0,0.01
140,FOXA2,0.01,4.7193203,-1.0,-1.0,0.01
141,P3H2,0.01,6.253723,-1.0,-1.0,0.01
143,APLNR,0.01,9.533439,-1.0,-1.0,0.01
145,FAM159B,0.01,2.6384869,-1.0,-1.0,0.01
151,GATA6-AS1,0.01,11.196356,-1.0,-1.0,0.01
156,SCGB3A2,0.01,-3.5311556,-1.0,-1.0,0.01
161,TRDN,0.01,5.561231,-1.0,-1.0,0.01
165,LINC00458,0.01,5.976138,-1.0,-1.0,0.01
166,LINC00261,0.01,7.9893837,-1.0,-1.0,0.01
176,NEAT1,0.01,3.546274,-1.0,-1.0,0.01
177,RP11-1144P22.1,0.01,-3.0282495,-1.0,-1.0,0.01
178,BID,0.01,-4.7005067,-1.0,-1.0,0.01
180,DUSP4,0.01,4.37044,-1.0,-1.0,0.01
183,MT2A,0.01,-4.7198486,-1.0,-1.0,0.01
189,UCHL1,0.01,-4.750423,-1.0,-1.0,0.01
190,SLC16A3,0.01,7.339849,-1.0,-1.0,0.01
194,SOX2,0.01,-5.163774,-1.0,-1.0,0.01
196,RP11-132A1.3,0.01,-9.793723,-1.0,-1.0,0.01
201,SERPINB9,0.01,3.1609373,-1.0,-1.0,0.01
206,NANOG,0.01,-4.6018043,-1.0,-1.0,0.01
207,SP5,0.01,11.282432,-1.0,-1.0,0.01
208,FGF17,0.01,9.77532,-1.0,-1.0,0.01
213,CCKBR,0.01,3.987314,-1.0,-1.0,0.01
214,ARHGAP24,0.01,5.7762823,-1.0,-1.0,0.01
215,SFRP2,0.01,-2.324091,-1.0,-1.0,0.01
219,FOXD3-AS1,0.01,-6.6361375,-1.0,-1.0,0.01
222,CLU,0.01,-4.8061047,-1.0,-1.0,0.01
223,LY6E,0.01,2.1345685,-1.0,-1.0,0.01
225,FN1,0.01,5.4970245,-1.0,-1.0,0.01
228,RP11-568A7.4,0.01,-4.550686,-1.0,-1.0,0.01
239,SEPHS1,0.01,-2.6812174,-1.0,-1.0,0.01
240,LINC00678,0.01,-4.31846,-1.0,-1.0,0.01
247,THY1,0.01,-5.3449097,-1.0,-1.0,0.01
249,P4HA1,0.01,3.5166454,-1.0,-1.0,0.01
256,CAV1,0.01,-3.2010572,-1.0,-1.0,0.01
267,COL6A2,0.01,3.4341388,-1.0,-1.0,0.01
272,PKM,0.01,3.149778,-1.0,-1.0,0.01
275,KRT19,0.01,3.855372,-1.0,-1.0,0.01
277,DPYSL3,0.01,-3.2928164,-1.0,-1.0,0.01
283,CDH2,0.01,4.3822107,-1.0,-1.0,0.01
291,SERPINE2,0.01,3.149792,-1.0,-1.0,0.01
297,TJP1,0.01,-2.2604468,-1.0,-1.0,0.01
298,PDPN,0.01,-2.8341768,-1.0,-1.0,0.01
299,HN1,0.01,-3.593233,-1.0,-1.0,0.01
