,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
0,PLSCR2,0.01,11.4607315,-1.0,-1.0,0.01
2,SOX17,0.01,14.431039,-1.0,-1.0,0.01
5,CER1,0.01,10.403633,-1.0,-1.0,0.01
6,RP11-568A7.4,0.01,-4.3380885,-1.0,-1.0,0.01
16,DKK4,0.01,13.908214,-1.0,-1.0,0.01
18,PRSS2,0.01,14.219397,-1.0,-1.0,0.01
20,NANOG,0.01,-4.305224,-1.0,-1.0,0.01
30,LHX1,0.01,8.350655,-1.0,-1.0,0.01
38,MOBP,0.01,11.170871,-1.0,-1.0,0.01
52,SPP1,0.01,-7.9804525,-1.0,-1.0,0.01
53,SERPINE2,0.01,3.251822,-1.0,-1.0,0.01
66,GATA6-AS1,0.01,10.566533,-1.0,-1.0,0.01
70,SP5,0.01,11.20372,-1.0,-1.0,0.01
73,CYP26A1,0.01,6.644465,-1.0,-1.0,0.01
74,DDIT4,0.01,5.3127666,-1.0,-1.0,0.01
90,ARHGAP24,0.01,6.0585327,-1.0,-1.0,0.01
100,RP11-1144P22.1,0.01,-2.9689386,-1.0,-1.0,0.01
111,FGF17,0.01,9.8941965,-1.0,-1.0,0.01
121,APLNR,0.01,8.905687,-1.0,-1.0,0.01
122,DKK1,0.01,10.521605,-1.0,-1.0,0.01
127,SAMD3,0.01,8.397873,-1.0,-1.0,0.01
128,FOXA2,0.01,4.90317,-1.0,-1.0,0.01
129,SLC16A3,0.01,7.233879,-1.0,-1.0,0.01
136,LINC00261,0.01,8.217461,-1.0,-1.0,0.01
139,PDPN,0.01,-2.761729,-1.0,-1.0,0.01
156,LINC01356,0.01,7.276818,-1.0,-1.0,0.01
159,KRT19,0.01,3.8778164,-1.0,-1.0,0.01
161,CCND1,0.01,-3.1571329,-1.0,-1.0,0.01
165,FAM184A,0.01,5.51106,-1.0,-1.0,0.01
166,FAM159B,0.01,2.79838,-1.0,-1.0,0.01
174,L1TD1,0.01,-2.6672955,-1.0,-1.0,0.01
183,P4HA1,0.01,3.4115355,-1.0,-1.0,0.01
185,COL6A1,0.01,2.8638432,-1.0,-1.0,0.01
187,GAD1,0.01,7.099694,-1.0,-1.0,0.01
189,COL6A2,0.01,3.5705462,-1.0,-1.0,0.01
204,MT1X,0.01,-5.013134,-1.0,-1.0,0.01
210,TRDN,0.01,5.6850433,-1.0,-1.0,0.01
211,NEAT1,0.01,3.6787071,-1.0,-1.0,0.01
