,gene_name,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
2,PLSCR2,0.01,9.78798,-1.0,-1.0,0.01
3,DKK1,0.01,9.870506,-1.0,-1.0,0.01
8,RSPO3,0.01,11.498032,-1.0,-1.0,0.01
9,PLXNA2,0.01,7.402941,-1.0,-1.0,0.01
10,GAD1,0.01,6.670596,-1.0,-1.0,0.01
25,MESP1,0.01,8.471697,-1.0,-1.0,0.01
26,APLNR,0.01,12.201781,-1.0,-1.0,0.01
30,MIXL1,0.01,4.9893084,-1.0,-1.0,0.01
33,TBX6,0.01,7.862548,-1.0,-1.0,0.01
39,LHX1,0.01,9.939948,-1.0,-1.0,0.01
44,MESP2,0.01,8.924646,-1.0,-1.0,0.01
56,LINC00458,0.01,5.6257725,-1.0,-1.0,0.01
64,SPP1,0.01,-6.897438,-1.0,-1.0,0.01
65,CLU,0.01,-3.9178352,-1.0,-1.0,0.01
71,ARL4D,0.01,4.6393676,-1.0,-1.0,0.01
73,IRX3,0.01,9.618097,-1.0,-1.0,0.01
76,DPYSL3,0.01,-4.0771093,-1.0,-1.0,0.01
80,SFRP2,0.01,-2.3802092,-1.0,-1.0,0.01
92,LINC00678,0.01,-4.5092716,-1.0,-1.0,0.01
97,FOXD3-AS1,0.01,-5.997794,-1.0,-1.0,0.01
98,T,0.01,8.4161215,-1.0,-1.0,0.01
99,DNMT3B,0.01,-2.568481,-1.0,-1.0,0.01
101,LINC01356,0.01,5.8150153,-1.0,-1.0,0.01
103,GATA6-AS1,0.01,10.397613,-1.0,-1.0,0.01
107,SERPINE2,0.01,3.8615828,-1.0,-1.0,0.01
114,PLA2G16,0.01,-3.3845415,-1.0,-1.0,0.01
115,P3H2,0.01,5.841143,-1.0,-1.0,0.01
122,SCGB3A2,0.01,-3.6502082,-1.0,-1.0,0.01
124,SOX2,0.01,-8.588072,-1.0,-1.0,0.01
126,SLC16A3,0.01,7.014831,-1.0,-1.0,0.01
129,POLR3G,0.01,-4.702344,-1.0,-1.0,0.01
139,LECT1,0.01,-5.3511305,-1.0,-1.0,0.01
140,SNAI1,0.01,4.870721,-1.0,-1.0,0.01
141,DKK4,0.01,11.24623,-1.0,-1.0,0.01
142,ZIC3,0.01,3.1547136,-1.0,-1.0,0.01
149,DDIT4,0.01,4.9983974,-1.0,-1.0,0.01
150,SRM,0.01,-2.4753995,-1.0,-1.0,0.01
153,FGF17,0.01,10.339891,-1.0,-1.0,0.01
157,RP11-132A1.3,0.01,-8.632132,-1.0,-1.0,0.01
158,RP11-568A7.4,0.01,-4.451981,-1.0,-1.0,0.01
159,CITED2,0.01,3.0626507,-1.0,-1.0,0.01
161,SAMD3,0.01,7.7255244,-1.0,-1.0,0.01
162,CD24,0.01,-3.18343,-1.0,-1.0,0.01
174,VIM,0.01,3.9185894,-1.0,-1.0,0.01
175,LOX,0.01,10.602157,-1.0,-1.0,0.01
176,TNNT1,0.01,2.609578,-1.0,-1.0,0.01
177,LZTS1,0.01,4.7033315,-1.0,-1.0,0.01
180,HVCN1,0.01,4.785222,-1.0,-1.0,0.01
183,SP5,0.01,10.796117,-1.0,-1.0,0.01
184,CDH2,0.01,3.777443,-1.0,-1.0,0.01
186,PDPN,0.01,-3.7035868,-1.0,-1.0,0.01
189,MSX1,0.01,9.660585,-1.0,-1.0,0.01
192,PPP1R14B,0.01,-2.3044555,-1.0,-1.0,0.01
194,SEPHS1,0.01,-1.9295186,-1.0,-1.0,0.01
195,DLL3,0.01,4.5024743,-1.0,-1.0,0.01
198,HAS2,0.01,4.5618467,-1.0,-1.0,0.01
199,UCHL1,0.01,-4.4616876,-1.0,-1.0,0.01
200,RARRES2,0.01,-2.3118997,-1.0,-1.0,0.01
204,UTF1,0.01,-8.85834,-1.0,-1.0,0.01
205,NNAT,0.01,-2.6849024,-1.0,-1.0,0.01
207,CYP26A1,0.01,5.2599273,-1.0,-1.0,0.01
209,COL6A1,0.01,3.1948571,-1.0,-1.0,0.01
213,TUBB6,0.01,-3.4227574,-1.0,-1.0,0.01
216,DPPA4,0.01,-2.6291025,-1.0,-1.0,0.01
217,CNTFR,0.01,3.3756723,-1.0,-1.0,0.01
221,GATA6,0.01,10.84173,-1.0,-1.0,0.01
229,CYB5A,0.01,-2.8739522,-1.0,-1.0,0.01
231,L1TD1,0.01,-3.2368956,-1.0,-1.0,0.01
238,MLLT11,0.01,-3.315786,-1.0,-1.0,0.01
243,THY1,0.01,-3.6448061,-1.0,-1.0,0.01
249,CASP3,0.01,-2.2209227,-1.0,-1.0,0.01
252,EOMES,0.01,6.006258,-1.0,-1.0,0.01
254,RND2,0.01,-3.3254995,-1.0,-1.0,0.01
255,CADM1,0.01,2.6561913,-1.0,-1.0,0.01
258,NEAT1,0.01,3.3298302,-1.0,-1.0,0.01
259,GPATCH4,0.01,-2.661538,-1.0,-1.0,0.01
264,TRDN,0.01,4.0055537,-1.0,-1.0,0.01
268,NANOG,0.01,-6.7334986,-1.0,-1.0,0.01
271,PKM,0.01,3.4139886,-1.0,-1.0,0.01
273,H2AFJ,0.01,-2.4487953,-1.0,-1.0,0.01
275,FAM159B,0.01,2.055913,-1.0,-1.0,0.01
281,H2AFZ,0.01,-1.7742703,-1.0,-1.0,0.01
283,PGM1,0.01,2.5855389,-1.0,-1.0,0.01
287,FAM89A,0.01,6.0914955,-1.0,-1.0,0.01
288,SLC39A8,0.01,2.3163228,-1.0,-1.0,0.01
295,SLIRP,0.01,-1.5922647,-1.0,-1.0,0.01
298,MGST2,0.01,3.633539,-1.0,-1.0,0.01
305,KRT19,0.01,3.2404578,-1.0,-1.0,0.01
307,MEST,0.01,-1.7675607,-1.0,-1.0,0.01
312,PGK1,0.01,2.5275345,-1.0,-1.0,0.01
313,FZD7,0.01,2.7054741,-1.0,-1.0,0.01
324,IER2,0.01,-1.7404057,-1.0,-1.0,0.01
327,CLDN7,0.01,-2.337344,-1.0,-1.0,0.01
329,FGFBP3,0.01,-3.6269882,-1.0,-1.0,0.01
333,ATP5G1,0.01,-2.4104576,-1.0,-1.0,0.01
336,TERF1,0.01,-3.618427,-1.0,-1.0,0.01
337,TPM1,0.01,-2.4284782,-1.0,-1.0,0.01
339,CA2,0.01,2.5568638,-1.0,-1.0,0.01
341,DNAJB6,0.01,-2.2612348,-1.0,-1.0,0.01
342,CAV1,0.01,-2.9907393,-1.0,-1.0,0.01
349,CST3,0.01,1.5511025,-1.0,-1.0,0.01
357,TGIF1,0.01,2.075409,-1.0,-1.0,0.01
359,NME1,0.01,-1.9896787,-1.0,-1.0,0.01
361,ALDH2,0.01,1.6730571,-1.0,-1.0,0.01
362,BEX1,0.01,-2.58854,-1.0,-1.0,0.01
363,OTX2,0.01,2.8308012,-1.0,-1.0,0.01
364,NTS,0.01,4.052312,-1.0,-1.0,0.01
367,BNIP3,0.01,4.226544,-1.0,-1.0,0.01
369,CALD1,0.01,-2.6703947,-1.0,-1.0,0.01
372,POU5F1,0.01,-1.3463975,-1.0,-1.0,0.01
374,GSTO1,0.01,2.1457098,-1.0,-1.0,0.01
375,MPC2,0.01,-1.3108106,-1.0,-1.0,0.01
376,EIF4EBP1,0.01,-2.0247984,-1.0,-1.0,0.01
379,CYCS,0.01,-2.3348014,-1.0,-1.0,0.01
388,CD99,0.01,1.2464968,-1.0,-1.0,0.01
389,TJP1,0.01,-2.102722,-1.0,-1.0,0.01
390,MMP23B,0.01,3.96418,-1.0,-1.0,0.01
395,CHCHD10,0.01,-1.792059,-1.0,-1.0,0.01
401,P4HA1,0.01,2.9792502,-1.0,-1.0,0.01
402,SLC25A4,0.01,-2.0625777,-1.0,-1.0,0.01
412,TCEAL9,0.01,1.1401994,-1.0,-1.0,0.01
416,RBPMS2,0.01,-2.622667,-1.0,-1.0,0.01
420,TSC22D1,0.01,1.781664,-1.0,-1.0,0.01
422,RP11-20D14.6,0.01,-1.4914552,-1.0,-1.0,0.01
426,DLL1,0.01,4.3834753,-1.0,-1.0,0.01
443,HN1,0.01,-2.2724829,-1.0,-1.0,0.01
450,RHOBTB3,0.01,2.3393466,-1.0,-1.0,0.01
456,RRS1,0.01,-2.3032582,-1.0,-1.0,0.01
457,SLC2A1,0.01,2.2100792,-1.0,-1.0,0.01
465,MT2A,0.01,-4.0693593,-1.0,-1.0,0.01
473,WDR54,0.01,2.354837,-1.0,-1.0,0.01
479,LY6E,0.01,1.295683,-1.0,-1.0,0.01
485,MGST3,0.01,-1.104068,-1.0,-1.0,0.01
501,NOP16,0.01,-1.9549521,-1.0,-1.0,0.01
502,GNPNAT1,0.01,2.03219,-1.0,-1.0,0.01
506,RP11-1144P22.1,0.01,-3.180071,-1.0,-1.0,0.01
507,PTGR1,0.01,1.5674646,-1.0,-1.0,0.01
524,PMAIP1,0.01,-2.2732847,-1.0,-1.0,0.01
532,PERP,0.01,-1.7769986,-1.0,-1.0,0.01
538,TIMP1,0.01,1.2687068,-1.0,-1.0,0.01
543,SOCS2,0.01,-1.3074313,-1.0,-1.0,0.01
547,BID,0.01,-2.6404188,-1.0,-1.0,0.01
565,HAPLN1,0.01,3.0253625,-1.0,-1.0,0.01
568,C4orf3,0.01,1.9890213,-1.0,-1.0,0.01
577,TNFRSF12A,0.01,-1.8240775,-1.0,-1.0,0.01
579,SRSF2,0.01,-1.8635596,-1.0,-1.0,0.01
583,LYAR,0.01,-1.7276679,-1.0,-1.0,0.01
592,RAB3B,0.01,1.643302,-1.0,-1.0,0.01
602,CD9,0.01,-1.6102262,-1.0,-1.0,0.01
605,MT1X,0.01,-3.181364,-1.0,-1.0,0.01
625,FAM162A,0.01,1.581515,-1.0,-1.0,0.01
627,PIF1,0.01,-3.8320348,-1.0,-1.0,0.01
637,SAT1,0.01,2.403392,-1.0,-1.0,0.01
645,GPC4,0.01,1.7962166,-1.0,-1.0,0.01
651,CSRP2,0.01,-1.0529729,-1.0,-1.0,0.01
659,ISYNA1,0.01,1.2893075,-1.0,-1.0,0.01
663,CLSPN,0.01,-3.2229884,-1.0,-1.0,0.01
692,DHCR24,0.01,-1.4050055,-1.0,-1.0,0.01
699,PSAT1,0.01,-1.7858468,-1.0,-1.0,0.01
715,IDI1,0.01,-2.4514096,-1.0,-1.0,0.01
716,CCND1,0.01,-1.5625521,-1.0,-1.0,0.01
737,ID1,0.01,-3.0358791,-1.0,-1.0,0.01
739,ACAT2,0.01,-1.7506254,-1.0,-1.0,0.01
743,TMEM141,0.01,-0.8508324,-1.0,-1.0,0.01
744,H2AFX,0.01,-2.198524,-1.0,-1.0,0.01
756,CCNB1,0.01,-2.086103,-1.0,-1.0,0.01
759,CDA,0.01,1.9102937,-1.0,-1.0,0.01
760,KPNA2,0.01,-1.932159,-1.0,-1.0,0.01
771,MAP1B,0.01,-1.2916306,-1.0,-1.0,0.01
775,CKS2,0.01,-1.9370424,-1.0,-1.0,0.01
777,TUBA1A,0.01,-1.4171985,-1.0,-1.0,0.01
779,CCDC85B,0.01,-1.3386378,-1.0,-1.0,0.01
783,EGFL7,0.01,0.9364092,-1.0,-1.0,0.01
799,SQLE,0.01,-2.1285675,-1.0,-1.0,0.01
801,MYBL2,0.01,-2.6972132,-1.0,-1.0,0.01
806,SPARC,0.01,1.2475737,-1.0,-1.0,0.01
807,HES6,0.01,-2.022972,-1.0,-1.0,0.01
836,KRT18,0.01,-1.5779165,-1.0,-1.0,0.01
838,MIR302B,0.01,-1.5547223,-1.0,-1.0,0.01
844,CENPF,0.01,-2.3210034,-1.0,-1.0,0.01
853,NODAL,0.01,-2.330909,-1.0,-1.0,0.01
857,CKB,0.01,-0.9072545,-1.0,-1.0,0.01
858,CDKN3,0.01,-2.3030384,-1.0,-1.0,0.01
869,PDLIM1,0.01,-0.977426,-1.0,-1.0,0.01
875,DNAJA1,0.01,-1.5492786,-1.0,-1.0,0.01
906,PTTG1,0.01,-2.041752,-1.0,-1.0,0.01
921,FAM64A,0.01,-2.8687315,-1.0,-1.0,0.01
925,UBE2S,0.01,-1.6420486,-1.0,-1.0,0.01
