,TF,target,importance
142,E2f7,Enc1,0.7673851797174573
143,Six5,Agfg1,0.6474956727794583
144,Nr2c2,Agfg1,0.43726660626316377
145,Jund,Agfg1,0.2256377488560106
146,Atf3,Fcgrt,0.2602783806089793
147,Elk4,Apoo-ps,0.03420669243926018
148,Fos,Apoo-ps,0.12234726661504712
149,Jun,Apoo-ps,-0.13070168967268864
150,Klf8,Apoo-ps,0.8482494197429317
151,Jund,Apoo-ps,0.1541033265732093
152,Zmiz1,Ak3,0.5869601017110562
153,Yy1,Cish,0.9678438572309188
154,Klf16,Cish,0.9958233750045866
155,E2f4,Ddost,0.15998335691671087
156,Maz,Ddost,0.7419789150900373
157,Klf12,Ddost,-0.49533006505055416
158,E2f6,Dpy19l1,0.8594893292914497
159,Sp1,Dpy19l1,0.7446886914117392
160,Myc,Papola,0.2586302842936769
161,Jund,Papola,0.26851888665831075
162,Gmeb1,Papola,0.25314560518794493
163,Sox8,Dnaja1,2.363930138753716
164,Nfatc4,Dnaja1,0.3460441644819215
165,Irf7,Dnaja1,0.4366752158570451
166,Nfat5,Dnaja1,0.36943224800907243
167,Zmiz1,Dnaja1,0.36185977290043286
168,Bhlhe40,Npy,0.36522583719446916
169,Hoxb8,Npy,0.9856221105478168
170,Ets1,Mmp17,1.0382765262856177
171,Hes7,Mmp17,0.8120466397128051
172,Junb,Ltbr,0.04049493017362977
173,Hif1a,Ltbr,0.09996250232365639
174,Atf6b,Ltbr,0.11893918830452727
175,Fosb,Idh3b,0.24855142147445047
176,Erf,Idh3b,0.8412724236862794
177,Zmiz1,Idh3b,0.21428518213795852
178,E2f6,Wdr91,1.0051713488762632
179,Jun,Slain2,0.09434956475754623
180,Yy1,Slain2,0.2833729284883201
181,E2f3,Slain2,0.4199722278197456
182,Srf,Slain2,0.3093063098093701
183,Zmiz1,Slain2,0.34598060925301505
184,Fos,Ulk1,0.041663143828749465
185,Klf3,Ulk1,0.36658463954318377
186,Osr1,Nppb,0.2317214608648102
187,Ctcf,Auts2,0.15073298832087142
188,Hoxb8,Auts2,0.16020216621593347
189,Hoxd8,Auts2,0.2891018559901205
190,Lef1,Auts2,0.6783491879340217
191,Hoxc10,Auts2,0.08383758678825592
192,Nkx6-1,Auts2,0.7135698844000221
193,Ddit3,Auts2,0.052529540719468665
194,Zfp369,Auts2,0.44453777666783606
195,Mxd4,Tceal3,0.3041924793347336
196,Crem,Bud31,0.5965981294406721
197,Jund,Bud31,0.43339661447953937
198,Usf2,Bud31,1.863081456541571
199,Elk4,Dnajc5,0.6075419821696911
200,Sp4,Dnajc5,0.5884590693870143
201,E2f6,Dnajc5,0.7540900541500962
202,Ets2,Dnajc5,0.7040375054457227
203,Zfp711,Dnajc5,0.9389690469124095
204,Elf2,Asph,0.2421883910887112
205,Ctcf,Asph,0.17638070621346882
206,Irf7,Asph,0.39293779066645085
207,Nr2c2,Asph,0.3775932692505247
208,Cebpb,Asph,0.2836769472687263
209,Klf16,Asph,0.42720376751235006
210,Elf1,Helq,0.513428403030116
211,Ets2,Helq,0.8287866354309035
